keyword,broad_region,note
서울특별시,서울특별시,광역시도 정확 매칭
부산광역시,부산광역시,광역시도 정확 매칭
대구광역시,대구광역시,광역시도 정확 매칭
인천광역시,인천광역시,광역시도 정확 매칭
광주광역시,광주광역시,광역시도 정확 매칭
대전광역시,대전광역시,광역시도 정확 매칭
울산광역시,울산광역시,광역시도 정확 매칭
수원,경기도,경기도
성남,경기도,경기도
안양,경기도,경기도
부천,경기도,경기도
광명,경기도,경기도
평택,경기도,경기도
안산,경기도,경기도
고양,경기도,경기도
의정부,경기도,경기도
파주,경기도,경기도
시흥,경기도,경기도
군포,경기도,경기도
하남,경기도,경기도
오산,경기도,경기도
이천,경기도,경기도
안성,경기도,경기도
김포,경기도,경기도
화성,경기도,경기도
양주,경기도,경기도
포천,경기도,경기도
여주,경기도,경기도
의왕,경기도,경기도
동두천,경기도,경기도
춘천,강원특별자치도,강원
원주,강원특별자치도,강원
강릉,강원특별자치도,강원
동해,강원특별자치도,강원
태백,강원특별자치도,강원
속초,강원특별자치도,강원
삼척,강원특별자치도,강원
청주,충청북도,충북
충주,충청북도,충북
제천,충청북도,충북
천안,충청남도,충남
공주,충청남도,충남
보령,충청남도,충남
아산,충청남도,충남
서산,충청남도,충남
논산,충청남도,충남
당진,충청남도,충남
전주,전북특별자치도,전북
군산,전북특별자치도,전북
익산,전북특별자치도,전북
정읍,전북특별자치도,전북
남원,전북특별자치도,전북
김제,전북특별자치도,전북
목포,전라남도,전남
여수,전라남도,전남
순천,전라남도,전남
나주,전라남도,전남
광양,전라남도,전남
완도,전라남도,전남
포항,경상북도,경북
경주,경상북도,경북
김천,경상북도,경북
안동,경상북도,경북
구미,경상북도,경북
영주,경상북도,경북
경산,경상북도,경북
창원,경상남도,경남
진주,경상남도,경남
통영,경상남도,경남
사천,경상남도,경남
김해,경상남도,경남
밀양,경상남도,경남
거제,경상남도,경남
양산,경상남도,경남
제주시,제주특별자치도,제주
서귀포,제주특별자치도,제주
길음,서울특별시,서울 길음동
성북,서울특별시,서울 성북구
강남,서울특별시,서울 강남구
강북,서울특별시,서울 강북구
강서,서울특별시,서울 강서구
강동,서울특별시,서울 강동구
송파,서울특별시,서울 송파구
서초,서울특별시,서울 서초구
마포,서울특별시,서울 마포구
영등포,서울특별시,서울 영등포구
동작,서울특별시,서울 동작구
관악,서울특별시,서울 관악구
구로,서울특별시,서울 구로구
양천,서울특별시,서울 양천구
노원,서울특별시,서울 노원구
도봉,서울특별시,서울 도봉구
중랑,서울특별시,서울 중랑구
광진,서울특별시,서울 광진구
성동,서울특별시,서울 성동구
동대문,서울특별시,서울 동대문구
서대문,서울특별시,서울 서대문구
은평,서울특별시,서울 은평구
용산,서울특별시,서울 용산구
